Northing,Easting,Zone
5092070.14281434,682398.977871954,19
5092086.16339625,682433.09464028,19
5092088.54594367,682291.716682755,19
5092235.7535331,682313.582891137,19
5092074.05555522,682456.098981429,19
5092093.16263947,682617.084241372,19
5092093.16263947,682617.084241372,19
5092117.19397704,682516.015662825,19
5092143.43206402,682470.722883652,19
5092152.94393493,682514.105524406,19
5092167.64927734,682488.697876483,19
5092214.55752615,682593.328659742,19
5092170.20941195,682669.171383085,19
5092070.00540122,683014.008065214,19
5092070.00540122,683014.008065214,19
5092107.72530861,683089.748550699,19
5092107.72530861,683089.748550699,19
5092233.77996593,683114.39497087,19
5092083.95410017,684166.799703351,19
5092388.76989145,671385.767656878,19
5092337.78949066,679788.199003613,19
5092329.78256121,680663.749741671,19
5092252.1253562,681136.457043567,19
5092384.5151198,681815.336387717,19
5092250.07321396,681913.369148705,19
5092304.71366177,682012.810584768,19
5092378.83896545,681886.851507322,19
5092388.52921935,682041.980347748,19
5092391.43896213,681865.386081685,19
5092409.01200975,682008.804452045,19
5092264.06405522,682187.807294035,19
5092269.37512911,682190.675135081,19
5092269.37512911,682190.675135081,19
5092309.05520818,682182.524140431,19
5092351.94881835,682106.187078938,19
5092290.9025715,682275.7364677,19
5092294.06856373,682269.981562941,19
5092342.16324705,682365.96801143,19
5092356.63093667,682340.025655762,19
5092307.18441365,682487.985093544,19
5092346.66141221,682548.162573595,19
5092348.3577605,682549.120597001,19
5092355.76954327,682476.389249019,19
5092294.70443517,682693.794466477,19
5092303.15808548,682682.609152099,19
5092362.79307107,682905.128389274,19
5092429.55409399,682977.755730506,19
5092444.06094792,682930.716640009,19
5092636.99128084,674237.515377116,19
5092510.99629474,676042.712801043,19
5092588.4961666,675933.49269269,19
5092633.11779718,675958.042406375,19
5092561.45995692,676376.882850102,19
5092600.54375836,681734.990949698,19
5092512.46024896,681885.473123387,19
5092547.54335374,682011.776501215,19
5092593.84600318,681990.635918553,19
5092610.1554222,681868.712843175,19
5092621.38989335,681876.369352717,19
5092629.55937957,681896.989289874,19
5092483.57624621,682180.397594118,19
5092492.97749247,682103.344639167,19
5092552.94031178,682243.57002339,19
5092593.65355316,682232.751700138,19
5092465.10377387,682398.242093524,19
5092595.69188679,682598.805008922,19
5092500.44028252,684283.422277154,19
5092477.45029903,687583.313058892,19
5092768.60701424,676757.352600367,19
5092717.06577583,681030.997220682,19
5092686.27930793,681908.578411669,19
5092682.12589299,684066.749176893,19
5092683.43288946,684088.191744133,19
5092810.55307221,684178.157051154,19
5092818.00861511,684174.599944563,19
5092821.62644077,684172.863449792,19
5093041.15470073,683766.949734113,19
5093024.25109258,684069.030518824,19
5092994.0339812,684293.499613575,19
5093020.2903638,684420.435089252,19
5092878.12099603,684708.589815892,19
5093071.7408512,683961.143683476,19
5093126.92811326,684397.939473965,19
5093126.24156314,684572.049887249,19
5093312.32098761,685403.88012717,19
5093541.17906536,685100.330893192,19
5093550.77711853,685094.072306776,19
5093719.88804858,683144.972263687,19
5093798.47596544,683346.015928004,19
5093758.4237962,683476.226917796,19
5093691.94484208,685528.788260357,19
5094221.2498815,677836.199236803,19
5094227.70404727,677886.481711195,19
5094140.28237639,682418.974844772,19
5094115.05284597,686357.860776187,19
5094324.72930575,677915.623474195,19
5094379.96412657,682938.456906326,19
5094484.70665376,677972.251299182,19
5094625.12756531,680720.126284599,19
5094468.52342361,684663.387887336,19
5094480.14238031,684654.046705938,19
5094480.14238031,684654.046705938,19
5094480.14238031,684654.046705938,19
5094480.14238031,684654.046705938,19
5094480.14238031,684654.046705938,19
5094531.39179311,687062.595507591,19
5094531.84642571,687084.910613696,19
5094693.50801235,680264.07865236,19
5094737.71590736,681229.632770728,19
5094737.71590736,681229.632770728,19
5094839.45502515,682811.259229175,19
5094708.18912661,685933.310070475,19
5094948.89340753,672406.152360718,19
5094887.04393318,680147.880336956,19
5094909.95786808,680205.194928129,19
5094909.95786808,680205.194928129,19
5095013.0739055,680468.686978149,19
5094987.33760261,682694.471337948,19
5095053.93150348,680276.48956913,19
5095074.11070573,680521.472761152,19
5095196.57313904,680905.698397541,19
5095217.59225137,682824.313829644,19
5095089.33403369,685288.540830914,19
5095320.32006383,681815.966628008,19
5095350.51820627,682713.168652578,19
5095396.59037074,682725.601281741,19
5095315.62207303,686508.724642366,19
5095483.15353569,674382.066968506,19
5095454.20184694,680328.193445156,19
5095557.93970615,686523.488331943,19
5095639.66824272,686769.301557891,19
5095793.31689258,680770.922376489,19
5095840.63105845,687059.474111777,19
5096018.43565072,682068.360876931,19
5096103.62965632,673164.325884847,19
5096492.29136547,681439.788579972,19
5096457.25384684,681790.348151721,19
5096690.35038365,682344.251761209,19
5096897.28762967,687713.303433426,19
5098586.24783049,678814.894934653,19
5098811.23395928,679037.980304343,19
5098836.28538004,679054.372641681,19
5099581.5362706,679188.168489657,19
5099720.24374006,676611.74712829,19
5099720.24374006,676611.74712829,19
5099688.41325522,677950.550038313,19
5101341.08147293,683833.740109972,19
